 ---------------------------
 OneDMin
 Argonne National Laboratory
 ---------------------------

 Job Parameters:
 RANSEED =    661285410
 TARGET GEOMS: NUMBER =            1 , FILE = target.xyz      
 BATH GEOMS:   NUMBER =            1 , FILE = bath.xyz        
 SAMPLES =            2
 S range =    2.0000000000000000        5.0000000000000000       A
 R range =    2.2449240966187460        5.6123102415468651       A


 Calculating Energy at Infinite Separation...
 Energy (in Eh) will be written to zero.ene


 Calculating Sigma and Epsilon for each orientation...

 ORIENTATION           1

 Finding distance R for bottom of well [min(V(R))]
 Step               R            V(R)
    1      3.67231988   -290.06225891
    2      3.83291644     36.74574064
    3      3.93414675   -201.51152300
    4      3.70103898   -289.18664139
    5      3.85047229    -28.61236484
    6      3.75317659   -300.09956572
    7      3.88103930   -118.80835611
    8      3.75490761   -296.75220318
    9      3.88373927   -121.24730942
   10      3.74702888   -296.41753576
   11      3.87824437   -109.87902638
   12      3.72610133   -297.09223413
   13      3.86424142    -76.19836154
   14      3.74714977   -298.69589487
   15      3.87880824   -110.05869182
   16      3.72176162   -297.02414081
   17      3.86063200    -68.54607721
   18      3.75204927   -299.08100525
   19      3.88269689   -117.20243960
   20      3.75861496   -296.54744564
   21      3.88556823   -126.36144143
   22      3.74716623   -296.18748640
   23      3.87742289   -110.08307918
   24      3.73446688   -297.19095733
   25      3.86966430    -90.28939331
   26      3.75209147   -298.09518623
   27      3.87858910   -117.26281708
   28      3.74740694   -297.05064830
   29      3.87772192   -110.44035228
   30      3.72912072   -297.15509846
   31      3.86958198    -81.38325216
   32      3.73839935   -298.10441360
   33      3.87286870    -96.62047878
   34      3.75538322   -297.72801417
   35      3.88431946   -121.91167494
   36      3.69004861   -296.34476653
   37      3.84339635     -5.03521924
   38      3.75880529   -300.74958417
   39      3.88695596   -126.61996498
   40      3.73333893   -296.01114841
   41      3.86867774    -88.43919869
   42      3.73259658   -298.20632116
   43      3.86965894    -87.21315963
   44      3.74494241   -298.09575005
   45      3.87586095   -106.75191409
   46      3.74455343   -297.37715214
   47      3.87703870   -106.16341262
   48      3.73769630   -297.23694626
   49      3.87273605    -95.50212319
   50      3.72846250   -297.74334184
   51      3.86640788    -80.26267045
   52      3.74987077   -298.45901657
   53      3.88076427   -114.05915138
   54      3.73518878   -296.78591712
   55      3.87233892    -91.46532522
   56      3.71027202   -297.78924758
   57      3.85366807    -47.11417300
   58      3.75052114   -299.78971012
   59      3.88272951   -115.00306150
   60      3.71894164   -296.54334366
   61      3.85908941    -63.44510578
   62      3.75985941   -299.24194819
   63      3.88971677   -128.04498501
   64      3.73925326   -295.65578584
   65      3.86877461    -97.97111490
   66      3.72707544   -298.19541041
